Fecha,Real,Prophet,XGBoost,Stacking
2023-10-24 04:27:00,74888.96999769684,24296.075690821614,74261.67,74150.72162090661
2023-10-24 12:16:00,12129.960628930428,82751.13921656039,12113.191,12426.7584491301
2023-10-24 13:23:00,72130.61460036565,52696.06181901175,71618.28,71508.53198053097
2023-10-28 02:03:00,51897.044946614296,96719.21229268321,51544.438,51557.65493484098
2023-10-28 14:47:00,36838.8364334949,8511.101316659879,36702.066,36715.74428845098
2023-10-29 12:26:00,75537.95583104187,90385.16359107265,75212.664,74980.29070787728
2023-10-30 00:30:00,95399.79827653864,70693.16021252554,94657.67,94405.63788471924
2023-10-30 08:44:00,41349.18142343881,22824.305725553473,41198.51,41279.580676002945
2023-10-31 09:21:00,85091.34318774687,26754.658941007874,84501.93,84299.54309630368
2023-11-01 02:05:00,84210.51652919038,26520.577435907362,83996.33,83890.16569127818
2023-11-01 04:11:00,89203.10147806724,67217.75215274384,88598.164,88351.01239152643
2023-11-03 15:37:00,84219.12341218721,41902.336929042554,83907.73,83510.77996901712
2023-11-03 20:11:00,98887.43268183434,92156.04753802142,98207.71,97909.40971119147
2023-11-03 20:21:00,38352.36405894115,41214.95414452027,38053.297,38149.44169634565
2023-11-04 06:30:00,61795.14289050312,6988.463848478832,61280.062,61304.98948318992
2023-11-04 13:11:00,31010.407678480176,45816.82341388279,30763.7,30966.29301924169
2023-11-05 02:34:00,7778.476795478031,96970.60482530363,7766.162,8176.841642809933
2023-11-05 14:20:00,16006.480880507022,55170.890423621735,16181.703,16476.100368565698
2023-11-08 15:26:00,35244.54427870846,84849.86161294306,35002.82,35155.95792079319
2023-11-08 19:43:00,18702.91349430581,67872.67222884994,18733.322,18981.676896991674
2023-11-08 23:28:00,58972.303426980485,47885.632385677694,58663.348,58637.14500836932
2023-11-09 15:42:00,8031.269122843255,43280.732521533224,8114.002,8424.959049050518
2023-11-12 13:07:00,95478.06110397866,6231.865671447954,94664.86,94401.22365280152
2023-11-12 17:12:00,30274.77270953666,43415.28476116554,30197.441,30206.933135185456
2023-11-12 20:03:00,69657.49581330517,54449.08760044787,68925.78,68876.13592040118
2023-11-12 22:30:00,92558.08186146822,80158.41438593852,91669.25,91454.00414529291
2023-11-16 02:14:00,48593.06221190816,16332.86913651662,48186.227,48207.09833584045
2023-11-16 18:25:00,55782.067621997725,43877.93044410811,55517.598,55517.93489158939
2023-11-17 10:51:00,21227.21925614843,22092.18283713632,20961.078,21216.195569757325
2023-11-18 09:06:00,83758.00073913354,73489.91227010166,82993.99,82879.08136528597
2023-11-19 02:25:00,95692.063280261,27517.47442830714,94965.734,94808.51392232475
2023-11-20 09:30:00,25287.051931713773,70218.05132946013,25200.367,25402.588406138017
2023-11-20 10:03:00,64566.67426456515,34929.304219722624,64143.387,64009.10824231284
2023-11-20 22:52:00,19658.382434081457,1540.424876935883,19502.816,19745.52310442824
2023-11-21 13:46:00,4749.1903424836255,96247.45158899837,4641.2754,4915.102735845857
2023-11-24 11:58:00,51471.04503466205,5070.130138516946,51301.25,51229.804778589336
2023-11-25 02:17:00,49816.77889898189,23837.499507814955,49213.21,49345.83063036614
2023-11-26 01:40:00,59696.459256198585,90446.71171051105,59329.168,59408.74209651873
2023-11-26 08:39:00,12859.42893229325,59427.41460806322,12619.521,12942.05820709921
2023-11-26 12:05:00,18158.68746294684,95980.71076620455,17934.654,18148.08302218281
2023-11-26 14:58:00,75165.82448487272,90615.04723812685,74627.79,74485.48945001914
2023-11-27 00:23:00,78103.61369473927,52149.01298016758,77237.5,77150.68941386095
2023-11-27 15:53:00,65926.83997525163,22478.626984726918,65396.914,65395.247102515124
2023-11-27 18:26:00,19271.26031977624,61374.9915817962,19121.51,19293.099206467115
2023-11-28 02:01:00,14067.073542591845,73968.17206334857,13863.566,14132.570860933936
2023-11-28 18:16:00,42566.76256800045,36672.234043655226,42266.973,42322.66722619288
2023-11-29 09:31:00,13675.020123809169,67226.12047686808,13638.963,13746.017567274544
2023-11-29 16:13:00,40342.58131416888,30667.4147427891,40014.598,40064.604522373374
2023-11-29 22:15:00,12081.845091910887,13598.72675991805,12098.809,12259.57714791928
2023-11-30 15:03:00,39796.86806182338,10519.052823526281,39579.562,39733.114028060605
2023-11-30 18:18:00,97212.00483512238,83031.00710840042,96560.336,95935.9077469823
2023-12-01 21:40:00,57393.84738356693,20598.974764973067,57029.51,57058.08959857864
2023-12-03 00:34:00,64621.09226974434,17779.099184764556,64184.297,64010.37584575776
2023-12-03 10:31:00,8781.29656484364,90181.45535208871,8712.429,8977.274805329795
2023-12-06 20:07:00,6831.971286187578,25363.522926541744,6757.147,7027.012223666107
2023-12-07 04:39:00,80792.4202680985,52996.824576373954,80417.8,80209.34843060037
2023-12-09 10:14:00,98022.71245625484,81140.41874133734,97394.1,97171.66919760239
2023-12-09 16:39:00,84079.14986498645,74167.91549737821,83584.734,83493.044618755
2023-12-10 03:43:00,24152.2850911324,98657.4157767794,24049.547,24189.67577327546
2023-12-10 20:13:00,97822.04220499875,83240.84683419386,96985.695,96743.51466945578
2023-12-11 02:14:00,56941.05439720947,23371.352328918885,56425.832,56390.72383854876
2023-12-11 11:38:00,8086.326985662108,55474.064161809554,8066.79,8458.356705814007
2023-12-12 01:47:00,12940.799985231715,60258.17602149482,13029.442,13311.170887639282
2023-12-12 02:12:00,37625.68430497269,65449.358145767466,37400.785,37465.09903230892
2023-12-13 11:44:00,92196.23548867446,88735.52183822538,91263.97,91039.22858030527
2023-12-14 06:11:00,52745.01514247921,63065.61878201911,52399.938,52401.374749393406
2023-12-14 10:01:00,31784.48890082264,29981.824953620766,31706.479,31793.7030875298
2023-12-14 10:14:00,62754.201014252205,80916.95281178138,62495.266,62524.3744918781
2023-12-14 17:08:00,16836.0962932592,51423.20093883324,16543.625,16844.284063620595
2023-12-14 19:33:00,73362.67516362142,5503.461192600049,72626.586,72654.92968062976
2023-12-15 08:31:00,27105.77818275001,93743.12372468707,27048.488,27230.154467821714
2023-12-15 18:02:00,92065.23644688111,66234.19228833524,91245.92,91034.44325173133
2023-12-17 18:18:00,39734.61291935581,66255.32801352262,39541.547,39708.20930764357
2023-12-18 15:04:00,99319.7450247426,73306.20490976945,98609.92,98293.49423917524
2023-12-18 22:24:00,44933.08612909996,32450.31865786942,44645.258,44765.68070265107
2023-12-19 16:00:00,82833.65023699038,46207.31915449526,82193.33,82089.80960045036
2023-12-20 15:06:00,66025.18080914923,56243.591571327386,65427.273,65397.6695123984
2023-12-21 02:33:00,92849.35986701802,65514.34072324545,92081.05,91833.26942301201
2023-12-21 23:55:00,53053.84146711634,30889.016979349373,52652.094,52801.410335842425
2023-12-25 09:21:00,16658.877138087068,83662.6159537325,16535.775,16833.557222998348
2023-12-25 11:50:00,80394.24921804202,80536.8963306801,79565.89,79468.1500687251
2023-12-26 08:29:00,20417.94709169447,68872.30952561674,20232.111,20480.790433415703
2023-12-26 12:11:00,34137.37262840626,77607.70378918714,34037.88,34290.07959696772
2023-12-26 12:26:00,15111.090552484451,61673.96902906634,15040.431,15295.344782151178
2023-12-26 20:54:00,92906.74665331523,32895.941175296946,92062.25,91841.30380490982
2023-12-26 22:24:00,39055.28663361928,5554.715683973522,38929.34,39021.723179983914
2023-12-28 00:24:00,69859.34713905817,27623.52812017972,69239.15,69220.55682738237
2023-12-28 13:44:00,64718.9802915074,85753.83961214329,64295.387,64291.41606664577
2023-12-28 21:45:00,4429.760200104112,2309.7353564952264,4639.113,4794.306280683127
2023-12-28 22:02:00,97950.00589826774,56592.09394615375,96986.83,96757.20483110865
2023-12-29 07:53:00,17847.115582208913,59713.18872316192,17970.398,18136.690735146723
2023-12-29 08:26:00,24282.38836416005,78160.72439569487,24032.75,24184.014669429693
2023-12-29 16:55:00,6340.772036017213,84507.17060668467,6298.3833,6633.768808517247
2023-12-30 02:49:00,14807.056971347844,20491.74215239285,14724.885,14931.255602816324
2023-12-30 16:52:00,9519.680756479647,72544.20382077654,9467.651,9826.987782762666
2023-12-31 00:16:00,83398.19158985416,45064.16477383447,82733.78,82522.0879366388
2023-12-31 01:55:00,98221.76443282216,15882.094486451855,97421.586,97181.63682322328
2023-10-20 19:48:00,6982.1953873030425,89238.72969255567,6928.1465,7395.3775385360495
2023-10-21 20:17:00,63891.40757457572,30289.855084012972,63430.617,63290.6748139641
2023-10-22 00:31:00,62430.68262255129,58315.31570782847,61958.39,62021.94127214034
2023-10-22 11:31:00,33156.07039818129,40319.33909493046,32995.816,33024.76471384909
2023-10-22 13:02:00,12733.563363681777,66370.1367387089,12569.322,12955.70532038264
2023-10-22 18:26:00,9133.484805512084,39624.74410042751,8996.839,9245.300870347033
2023-10-22 18:49:00,96872.28519556845,7957.4871458769885,96225.414,95935.35860033963
2023-10-22 18:54:00,57664.52974916137,93250.07583913453,57104.2,57151.048752619805
2023-10-24 06:13:00,34675.53996796664,81161.89933854892,34598.477,34702.42802008613
2023-10-25 06:41:00,60032.2469075206,16077.077084722685,59404.25,59424.84232848666
2023-10-26 10:44:00,18134.93494373924,79722.38409778215,17998.48,18153.645204088658
2023-10-26 14:27:00,75636.84008368175,51862.819369964694,75016.34,74961.66672714341
2023-10-29 12:15:00,15957.42334417098,88309.27484438519,15557.021,16287.487097962912
2023-10-29 20:46:00,53272.17748917119,69690.58059430514,52792.81,52827.974870219616
2023-10-30 11:55:00,81340.6191183554,23992.05326776976,80748.15,80579.95685499554
2023-10-30 17:39:00,3640.834592475032,59158.53918483969,3558.6125,3935.0692388478487
2023-10-31 21:22:00,99662.64346884673,97283.85268649734,98882.664,98627.12567949823
